"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1970","1970","PER","Persons","3","Thousands",,,7879,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1971","1971","PER","Persons","3","Thousands",,,8079,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1972","1972","PER","Persons","3","Thousands",,,8329,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1973","1973","PER","Persons","3","Thousands",,,8759,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1974","1974","PER","Persons","3","Thousands",,,9137,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1975","1975","PER","Persons","3","Thousands",,,9308,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1976","1976","PER","Persons","3","Thousands",,,9747.5,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1977","1977","PER","Persons","3","Thousands",,,9917.1,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1978","1978","PER","Persons","3","Thousands",,,10220.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1979","1979","PER","Persons","3","Thousands",,,10668.6,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1980","1980","PER","Persons","3","Thousands",,,10984,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1981","1981","PER","Persons","3","Thousands",,,11305,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1982","1982","PER","Persons","3","Thousands",,,10943.7,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1983","1983","PER","Persons","3","Thousands",,,11022,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1984","1984","PER","Persons","3","Thousands",,,11301.7,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1985","1985","PER","Persons","3","Thousands",,,11627.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1986","1986","PER","Persons","3","Thousands",,,11986.6,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1987","1987","PER","Persons","3","Thousands",,,12333,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1988","1988","PER","Persons","3","Thousands",,,12709.6,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1989","1989","PER","Persons","3","Thousands",,,12996.2,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1990","1990","PER","Persons","3","Thousands",,,13086.4,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1991","1991","PER","Persons","3","Thousands",,,12857.4,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1992","1992","PER","Persons","3","Thousands",,,12730.9,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1993","1993","PER","Persons","3","Thousands",,,12792.7,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1994","1994","PER","Persons","3","Thousands",,,13058.7,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1995","1995","PER","Persons","3","Thousands",,,13295.4,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1996","1996","PER","Persons","3","Thousands",,,13420.1,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1997","1997","PER","Persons","3","Thousands",,,13708.2,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1998","1998","PER","Persons","3","Thousands",,,14047,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1999","1999","PER","Persons","3","Thousands",,,14402,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,14760.1,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,14932.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,15291.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,15660.8,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,15915,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,16123.5,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,16396,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,16769.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,17010.2,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,16727.6,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,16964.3,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,17221,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,17438,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,17691.1,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,17802.2,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,17946.6,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,18079.9,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,18416.4,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,18657.5,,
"CAN","Canada","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,19056,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1970","1970","PER","Persons","3","Thousands",,,20327,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1971","1971","PER","Persons","3","Thousands",,,20437,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1972","1972","PER","Persons","3","Thousands",,,20570,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1973","1973","PER","Persons","3","Thousands",,,20871,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1974","1974","PER","Persons","3","Thousands",,,21050,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1975","1975","PER","Persons","3","Thousands",,,20869,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1976","1976","PER","Persons","3","Thousands",,,21041,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1977","1977","PER","Persons","3","Thousands",,,21235,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1978","1978","PER","Persons","3","Thousands",,,21326,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1979","1979","PER","Persons","3","Thousands",,,21392,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1980","1980","PER","Persons","3","Thousands",,,21443,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1981","1981","PER","Persons","3","Thousands",,,21345,"B","Break"
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1982","1982","PER","Persons","3","Thousands",,,21390,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1983","1983","PER","Persons","3","Thousands",,,21378,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1984","1984","PER","Persons","3","Thousands",,,21199,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1985","1985","PER","Persons","3","Thousands",,,21128.09,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1986","1986","PER","Persons","3","Thousands",,,21243.58,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1987","1987","PER","Persons","3","Thousands",,,21320.53,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1988","1988","PER","Persons","3","Thousands",,,21521.38,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1989","1989","PER","Persons","3","Thousands",,,21842,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1990","1990","PER","Persons","3","Thousands",,,23064.46,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1991","1991","PER","Persons","3","Thousands",,,23089.35,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1992","1992","PER","Persons","3","Thousands",,,22984.29,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1993","1993","PER","Persons","3","Thousands",,,22683.2,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1994","1994","PER","Persons","3","Thousands",,,22713.89,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1995","1995","PER","Persons","3","Thousands",,,22914.76,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1996","1996","PER","Persons","3","Thousands",,,22973.49,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1997","1997","PER","Persons","3","Thousands",,,23104.05,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1998","1998","PER","Persons","3","Thousands",,,23520.51,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1999","1999","PER","Persons","3","Thousands",,,24005.29,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,24628.81,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,25098.8,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,25290.03,"B","Break"
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,24704.82,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,24808.03,"B","Break"
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,24984.18,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,25150.15,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,25586.68,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,25926.43,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,25674.38,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,25730.85,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,25759.3,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,25804.47,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,25785.3,"B","Break"
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,26376.47,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,26442.2,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,26580.2,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2017","2017","PER","Persons","3","Thousands",,,26803.13,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2018","2018","PER","Persons","3","Thousands",,,27022.07,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2019","2019","PER","Persons","3","Thousands",,,27132.7,,
"FRA","France","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2020","2020","PER","Persons","3","Thousands",,,26995.32,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1970","1970","PER","Persons","3","Thousands",,,33856.92,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1971","1971","PER","Persons","3","Thousands",,,34049.05,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1972","1972","PER","Persons","3","Thousands",,,33915.79,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1973","1973","PER","Persons","3","Thousands",,,34170.67,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1974","1974","PER","Persons","3","Thousands",,,33688.08,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1975","1975","PER","Persons","3","Thousands",,,32713.85,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1976","1976","PER","Persons","3","Thousands",,,32421.45,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1977","1977","PER","Persons","3","Thousands",,,32363.22,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1978","1978","PER","Persons","3","Thousands",,,32563.77,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1979","1979","PER","Persons","3","Thousands",,,33001.07,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1980","1980","PER","Persons","3","Thousands",,,33342.64,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1981","1981","PER","Persons","3","Thousands",,,33077.41,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1982","1982","PER","Persons","3","Thousands",,,32538.54,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1983","1983","PER","Persons","3","Thousands",,,32077.29,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1984","1984","PER","Persons","3","Thousands",,,32136.49,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1985","1985","PER","Persons","3","Thousands",,,32358.05,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1986","1986","PER","Persons","3","Thousands",,,32702.53,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1987","1987","PER","Persons","3","Thousands",,,32960.64,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1988","1988","PER","Persons","3","Thousands",,,34636.76,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1989","1989","PER","Persons","3","Thousands",,,35030.4,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1990","1990","PER","Persons","3","Thousands",,,37217.9,"E","Estimated value"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1991","1991","PER","Persons","3","Thousands",,,36870.75,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1992","1992","PER","Persons","3","Thousands",,,36389.75,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1993","1993","PER","Persons","3","Thousands",,,35988.5,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1994","1994","PER","Persons","3","Thousands",,,35756,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1995","1995","PER","Persons","3","Thousands",,,35780,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1996","1996","PER","Persons","3","Thousands",,,35636.75,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1997","1997","PER","Persons","3","Thousands",,,35508,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1998","1998","PER","Persons","3","Thousands",,,36061.25,"B","Break"
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","1999","1999","PER","Persons","3","Thousands",,,36042.38,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,36235.5,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,36346.18,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,36061.38,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,35753.58,,
"DEU","Germany","YS99TTL1_ST","Employment all status, all activities ","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,35875.68,"B","Break"
