"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1970","1970","CAD","Canadian Dollar","6","Millions",,,48866.893,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1971","1971","CAD","Canadian Dollar","6","Millions",,,53572.424,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1972","1972","CAD","Canadian Dollar","6","Millions",,,60128.556,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1973","1973","CAD","Canadian Dollar","6","Millions",,,69265.528,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1974","1974","CAD","Canadian Dollar","6","Millions",,,82597.864,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1975","1975","CAD","Canadian Dollar","6","Millions",,,96337.332,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1976","1976","CAD","Canadian Dollar","6","Millions",,,111448.247,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1977","1977","CAD","Canadian Dollar","6","Millions",,,123430.144,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1978","1978","CAD","Canadian Dollar","6","Millions",,,134259.666,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1979","1979","CAD","Canadian Dollar","6","Millions",,,150995.109,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1980","1980","CAD","Canadian Dollar","6","Millions",,,170697.517,"E","Estimated value"
"CAN","Canada","D1","Compensation of employees","C","Current prices","1981","1981","CAD","Canadian Dollar","6","Millions",,,196780,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1982","1982","CAD","Canadian Dollar","6","Millions",,,210149,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1983","1983","CAD","Canadian Dollar","6","Millions",,,220342,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1984","1984","CAD","Canadian Dollar","6","Millions",,,237295,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1985","1985","CAD","Canadian Dollar","6","Millions",,,255899,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1986","1986","CAD","Canadian Dollar","6","Millions",,,272834,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1987","1987","CAD","Canadian Dollar","6","Millions",,,296539,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1988","1988","CAD","Canadian Dollar","6","Millions",,,325358,,
"CAN","Canada","D1","Compensation of employees","C","Current prices","1989","1989","CAD","Canadian Dollar","6","Millions",,,350860,,
