Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2019,1000,Canadian dollar,2008,Western calendar year,3.8202E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2018,1000,Canadian dollar,2008,Western calendar year,3.69165E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2017,1000,Canadian dollar,2008,Western calendar year,3.55284E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2016,1000,Canadian dollar,2008,Western calendar year,3.53087E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2015,1000,Canadian dollar,2008,Western calendar year,3.42323E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2014,1000,Canadian dollar,2008,Western calendar year,3.23208E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2013,1000,Canadian dollar,2008,Western calendar year,3.08976E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2012,1000,Canadian dollar,2008,Western calendar year,2.94108E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2011,1000,Canadian dollar,2008,Western calendar year,2.8006E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2011,200,Canadian dollar,1993,Western calendar year,2.41673E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2010,1000,Canadian dollar,2008,Western calendar year,2.69097E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2010,200,Canadian dollar,1993,Western calendar year,2.29331E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2009,1000,Canadian dollar,2008,Western calendar year,2.68289E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2009,200,Canadian dollar,1993,Western calendar year,2.19445E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2008,1000,Canadian dollar,2008,Western calendar year,2.56644E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2008,200,Canadian dollar,1993,Western calendar year,2.09257E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2007,1000,Canadian dollar,2008,Western calendar year,2.35545E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2007,200,Canadian dollar,1993,Western calendar year,1.96346E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2006,1000,Canadian dollar,2008,Western calendar year,2.19318E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2006,200,Canadian dollar,1993,Western calendar year,1.85201E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2005,1000,Canadian dollar,2008,Western calendar year,2.04293E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2005,200,Canadian dollar,1993,Western calendar year,1.76246E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2004,1000,Canadian dollar,2008,Western calendar year,1.93403E+11,
Canada,1.3,Net values: Gross National Income / Gross National Disposable Income / Saving Gross less Consumption of fixed capital,Less: Consumption of fixed capital,K.1,2004,200,Canadian dollar,1993,Western calendar year,1.67823E+11,
