"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2019","1000","Canadian dollar","2008","Western calendar year","254023000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2019","1000","Canadian dollar","2008","Western calendar year","106312000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2018","1000","Canadian dollar","2008","Western calendar year","247619000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2018","1000","Canadian dollar","2008","Western calendar year","101728000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2017","1000","Canadian dollar","2008","Western calendar year","241210000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2017","1000","Canadian dollar","2008","Western calendar year","97598000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2016","1000","Canadian dollar","2008","Western calendar year","229945000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2016","1000","Canadian dollar","2008","Western calendar year","97635000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2015","1000","Canadian dollar","2008","Western calendar year","222197000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2015","1000","Canadian dollar","2008","Western calendar year","95617000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2014","1000","Canadian dollar","2008","Western calendar year","211465000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2014","1000","Canadian dollar","2008","Western calendar year","92158000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2013","1000","Canadian dollar","2008","Western calendar year","201206000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2013","1000","Canadian dollar","2008","Western calendar year","89225000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2012","1000","Canadian dollar","2008","Western calendar year","192543000000",""
